Model Name,Brand,Processor,RAM,Storage,Display,Operating System,Color,Body Type,Weight,Warranty,Price (BDT)
LG Gram 14,LG,AMD Ryzen 7 5800U,8GB,128GB SSD,"17"" FHD",Chrome OS,White,Magnesium Alloy,2.00kg,2 Years,184333
MSI GF63 Thin,MSI,AMD Ryzen 5 5500U,16GB,128GB SSD,"13.3"" FHD",Chrome OS,White,Carbon Fiber,2.00kg,2 Years,195711
ASUS VivoBook 15,ASUS,Apple M2,16GB,256GB SSD,"16"" QHD",Chrome OS,Blue,Plastic,2.00kg,3 Years,130809
Walton Prelude N41,Walton,Intel Core i7 13th Gen,8GB,512GB SSD,"16"" QHD",Chrome OS,White,Carbon Fiber,2.00kg,3 Years,135594
MSI GF63 Thin,MSI,Apple M2,8GB,256GB SSD,"17"" FHD",Windows 11,Silver,Metal,1.75kg,2 Years,142572
ASUS VivoBook 15,ASUS,Intel Core i9 13th Gen,8GB,128GB SSD,"17"" FHD",Windows 10,Gray,Aluminum,2.00kg,3 Years,40983
Apple MacBook Air M2,Apple,Intel Core i9 13th Gen,8GB,1TB SSD,"14"" FHD",macOS Ventura,Gray,Metal,1.40kg,1 Year,195139
MSI GF63 Thin,MSI,Intel Core i9 13th Gen,8GB,1TB SSD,"13.3"" FHD",Chrome OS,Silver,Metal,1.75kg,3 Years,151909
Dell Inspiron 14,Dell,Apple M2,16GB,128GB SSD,"14"" FHD",macOS Ventura,White,Carbon Fiber,2.00kg,3 Years,43075
HP Victus 15,HP,Intel Core i5 12th Gen,4GB,1TB SSD,"17"" FHD",macOS Ventura,White,Carbon Fiber,0.99kg,3 Years,174492
HP Victus 15,HP,Intel Core i3 11th Gen,8GB,512GB SSD,"17"" FHD",Windows 10,White,Magnesium Alloy,2.00kg,1 Year,203350
HP Pavilion 15,HP,Apple M2,16GB,128GB SSD,"16"" QHD",Chrome OS,Silver,Aluminum,2.00kg,1 Year,148163
Apple MacBook Air M2,Apple,AMD Ryzen 7 5800U,12GB,128GB SSD,"13.3"" FHD",Chrome OS,Blue,Aluminum,1.40kg,3 Years,48542
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i7 13th Gen,32GB,1TB SSD,"13.3"" FHD",Windows 11,Silver,Metal,0.99kg,2 Years,208946
HP Pavilion 15,HP,Intel Core i5 12th Gen,32GB,512GB SSD,"17"" FHD",Windows 11,Black,Metal,0.99kg,1 Year,224322
ASUS VivoBook 15,ASUS,Apple M2,8GB,1TB SSD,"16"" QHD",Windows 10,Black,Plastic,0.99kg,1 Year,132909
Apple MacBook Air M1,Apple,AMD Ryzen 5 5500U,32GB,128GB SSD,"17"" FHD",macOS Ventura,White,Carbon Fiber,1.75kg,1 Year,221989
Walton Prelude N41,Walton,AMD Ryzen 7 5800U,8GB,1TB SSD,"14"" FHD",Chrome OS,Gray,Magnesium Alloy,1.75kg,3 Years,167534
Walton Prelude N41,Walton,Intel Core i7 13th Gen,12GB,1TB SSD,"17"" FHD",Windows 10,Gray,Metal,2.00kg,3 Years,184093
HP Victus 15,HP,AMD Ryzen 5 5500U,4GB,128GB SSD,"13.3"" FHD",macOS Ventura,Silver,Plastic,1.40kg,3 Years,40485
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i5 12th Gen,4GB,256GB SSD,"14"" FHD",Chrome OS,White,Aluminum,1.40kg,2 Years,122629
Apple MacBook Air M2,Apple,Intel Core i3 11th Gen,4GB,1TB SSD,"16"" QHD",Windows 10,White,Magnesium Alloy,1.75kg,2 Years,57688
Apple MacBook Air M2,Apple,Apple M2,8GB,512GB SSD,"16"" QHD",Windows 10,Silver,Plastic,1.25kg,1 Year,190790
Walton Prelude N41,Walton,Apple M1,16GB,1TB SSD,"13.3"" FHD",Windows 10,Blue,Aluminum,1.40kg,1 Year,206061
HP Victus 15,HP,AMD Ryzen 5 5500U,12GB,512GB SSD,"14"" FHD",macOS Ventura,White,Magnesium Alloy,1.40kg,1 Year,74162
ASUS VivoBook 15,ASUS,AMD Ryzen 5 5500U,16GB,512GB SSD,"16"" QHD",Windows 11,White,Magnesium Alloy,0.99kg,3 Years,204207
Dell XPS 13,Dell,Intel Core i7 13th Gen,16GB,128GB SSD,"13.3"" FHD",Windows 10,Blue,Metal,1.25kg,1 Year,165951
HP Victus 15,HP,Intel Core i3 11th Gen,16GB,1TB SSD,"15.6"" FHD",macOS Ventura,Black,Magnesium Alloy,1.40kg,1 Year,174533
Apple MacBook Air M1,Apple,Intel Core i3 11th Gen,8GB,128GB SSD,"15.6"" FHD",Windows 11,Silver,Magnesium Alloy,0.99kg,1 Year,191633
ASUS VivoBook 15,ASUS,AMD Ryzen 7 5800U,12GB,256GB SSD,"15.6"" FHD",Windows 11,Black,Plastic,2.00kg,3 Years,158368
HP Pavilion 15,HP,Apple M2,32GB,1TB SSD,"13.3"" FHD",Windows 10,Gray,Carbon Fiber,1.75kg,1 Year,193758
Walton Prelude N41,Walton,Apple M1,16GB,128GB SSD,"14"" FHD",Windows 10,Blue,Magnesium Alloy,1.75kg,1 Year,191934
Walton Prelude N41,Walton,Intel Core i5 12th Gen,4GB,512GB SSD,"14"" FHD",Windows 11,Silver,Metal,0.99kg,1 Year,124505
Apple MacBook Air M2,Apple,Intel Core i9 13th Gen,8GB,256GB SSD,"17"" FHD",Windows 11,White,Magnesium Alloy,0.99kg,3 Years,51756
Walton Prelude N41,Walton,Intel Core i3 11th Gen,16GB,256GB SSD,"17"" FHD",Windows 11,Blue,Plastic,1.75kg,2 Years,117951
Apple MacBook Air M2,Apple,AMD Ryzen 7 5800U,4GB,128GB SSD,"13.3"" FHD",Windows 10,White,Metal,1.25kg,1 Year,188356
Lenovo IdeaPad Slim 3,Lenovo,Apple M2,32GB,1TB SSD,"16"" QHD",Chrome OS,Silver,Magnesium Alloy,1.25kg,1 Year,183707
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i7 13th Gen,16GB,256GB SSD,"17"" FHD",macOS Ventura,Blue,Plastic,1.75kg,2 Years,189175
Apple MacBook Air M2,Apple,Apple M1,12GB,512GB SSD,"14"" FHD",Windows 10,Silver,Plastic,1.25kg,2 Years,61163
ASUS ROG Zephyrus G14,ASUS,Intel Core i5 12th Gen,12GB,512GB SSD,"16"" QHD",Windows 10,Blue,Magnesium Alloy,1.25kg,1 Year,199141
Dell Inspiron 14,Dell,Intel Core i3 11th Gen,12GB,128GB SSD,"16"" QHD",Chrome OS,Silver,Plastic,1.75kg,1 Year,232639
Apple MacBook Pro M2,Apple,AMD Ryzen 5 5500U,12GB,1TB SSD,"16"" QHD",Chrome OS,Gray,Plastic,1.40kg,3 Years,43961
Walton Prelude N41,Walton,AMD Ryzen 5 5500U,8GB,1TB SSD,"15.6"" FHD",Windows 10,Blue,Metal,1.40kg,3 Years,84149
MSI GF63 Thin,MSI,Intel Core i3 11th Gen,4GB,1TB SSD,"14"" FHD",macOS Ventura,Blue,Magnesium Alloy,1.25kg,2 Years,127476
HP Victus 15,HP,Intel Core i5 12th Gen,8GB,128GB SSD,"13.3"" FHD",Windows 10,Silver,Metal,1.40kg,2 Years,112270
ASUS VivoBook 15,ASUS,AMD Ryzen 5 5500U,16GB,1TB SSD,"16"" QHD",Chrome OS,Black,Magnesium Alloy,1.25kg,2 Years,212304
Dell XPS 13,Dell,Intel Core i5 12th Gen,32GB,256GB SSD,"17"" FHD",macOS Ventura,White,Carbon Fiber,2.00kg,2 Years,192337
Acer Aspire 5,Acer,Intel Core i5 12th Gen,4GB,256GB SSD,"17"" FHD",Chrome OS,Black,Magnesium Alloy,1.25kg,1 Year,126811
Apple MacBook Pro M2,Apple,Intel Core i7 13th Gen,32GB,512GB SSD,"16"" QHD",Windows 11,White,Aluminum,1.25kg,1 Year,74289
HP Pavilion 15,HP,Intel Core i5 12th Gen,16GB,128GB SSD,"17"" FHD",Windows 11,Gray,Magnesium Alloy,1.75kg,3 Years,54181
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i5 12th Gen,16GB,256GB SSD,"13.3"" FHD",Windows 10,Silver,Aluminum,0.99kg,2 Years,184014
HP Pavilion 15,HP,Intel Core i9 13th Gen,16GB,512GB SSD,"15.6"" FHD",macOS Ventura,White,Metal,0.99kg,1 Year,104553
LG Gram 14,LG,Intel Core i5 12th Gen,4GB,256GB SSD,"16"" QHD",macOS Ventura,White,Plastic,2.00kg,2 Years,52631
Dell XPS 13,Dell,AMD Ryzen 7 5800U,12GB,256GB SSD,"15.6"" FHD",macOS Ventura,Silver,Aluminum,0.99kg,1 Year,39731
ASUS ROG Zephyrus G14,ASUS,Intel Core i7 13th Gen,12GB,128GB SSD,"16"" QHD",macOS Ventura,Silver,Aluminum,1.75kg,3 Years,37437
Acer Aspire 5,Acer,AMD Ryzen 7 5800U,12GB,512GB SSD,"16"" QHD",macOS Ventura,Gray,Aluminum,1.40kg,3 Years,158659
Dell XPS 13,Dell,Intel Core i3 11th Gen,12GB,128GB SSD,"14"" FHD",Windows 11,Blue,Carbon Fiber,1.25kg,2 Years,56747
Apple MacBook Air M1,Apple,Intel Core i5 12th Gen,16GB,128GB SSD,"15.6"" FHD",Windows 10,Blue,Magnesium Alloy,0.99kg,3 Years,191217
LG Gram 14,LG,AMD Ryzen 5 5500U,12GB,512GB SSD,"16"" QHD",macOS Ventura,White,Plastic,1.25kg,2 Years,134569
MSI GF63 Thin,MSI,AMD Ryzen 7 5800U,12GB,1TB SSD,"13.3"" FHD",Windows 11,White,Magnesium Alloy,0.99kg,3 Years,196669
Dell Inspiron 14,Dell,AMD Ryzen 7 5800U,16GB,1TB SSD,"14"" FHD",Chrome OS,White,Carbon Fiber,1.25kg,3 Years,37674
ASUS ROG Zephyrus G14,ASUS,AMD Ryzen 5 5500U,16GB,128GB SSD,"15.6"" FHD",Windows 11,Black,Plastic,1.75kg,3 Years,35889
Dell XPS 13,Dell,AMD Ryzen 5 5500U,16GB,1TB SSD,"15.6"" FHD",Windows 11,Silver,Magnesium Alloy,0.99kg,1 Year,80128
Walton Tamarind EX10,Walton,Intel Core i3 11th Gen,32GB,1TB SSD,"17"" FHD",Windows 10,Blue,Carbon Fiber,2.00kg,3 Years,242942
ASUS ROG Zephyrus G14,ASUS,Intel Core i9 13th Gen,16GB,1TB SSD,"14"" FHD",Windows 10,Black,Aluminum,1.25kg,1 Year,173209
Apple MacBook Air M1,Apple,Apple M2,8GB,256GB SSD,"13.3"" FHD",Chrome OS,Black,Aluminum,2.00kg,2 Years,65756
HP Pavilion 15,HP,Intel Core i7 13th Gen,16GB,512GB SSD,"13.3"" FHD",Windows 11,Blue,Aluminum,0.99kg,3 Years,104567
Walton Tamarind EX10,Walton,Intel Core i3 11th Gen,32GB,128GB SSD,"14"" FHD",Windows 11,Blue,Magnesium Alloy,0.99kg,3 Years,147457
ASUS VivoBook 15,ASUS,Intel Core i7 13th Gen,32GB,512GB SSD,"14"" FHD",macOS Ventura,Gray,Carbon Fiber,1.75kg,2 Years,244005
MSI GF63 Thin,MSI,Apple M1,8GB,1TB SSD,"15.6"" FHD",Chrome OS,White,Magnesium Alloy,1.40kg,1 Year,83863
Dell XPS 13,Dell,Apple M1,12GB,256GB SSD,"13.3"" FHD",Chrome OS,Gray,Magnesium Alloy,1.25kg,3 Years,150461
HP Victus 15,HP,AMD Ryzen 7 5800U,4GB,128GB SSD,"16"" QHD",Chrome OS,Black,Carbon Fiber,1.75kg,2 Years,137161
Walton Tamarind EX10,Walton,Apple M1,4GB,512GB SSD,"13.3"" FHD",Windows 11,White,Aluminum,1.40kg,3 Years,122140
Walton Tamarind EX10,Walton,Apple M2,4GB,512GB SSD,"15.6"" FHD",Chrome OS,Blue,Aluminum,0.99kg,1 Year,227385
Apple MacBook Pro M2,Apple,Apple M1,12GB,128GB SSD,"13.3"" FHD",macOS Ventura,Black,Carbon Fiber,1.40kg,2 Years,174261
Walton Tamarind EX10,Walton,Intel Core i7 13th Gen,32GB,128GB SSD,"15.6"" FHD",Windows 11,White,Plastic,1.40kg,3 Years,76047
HP Victus 15,HP,Intel Core i3 11th Gen,8GB,512GB SSD,"17"" FHD",Windows 10,Blue,Plastic,1.25kg,1 Year,152248
Walton Tamarind EX10,Walton,Intel Core i3 11th Gen,12GB,1TB SSD,"15.6"" FHD",macOS Ventura,Black,Aluminum,1.40kg,3 Years,213270
HP Pavilion 15,HP,Intel Core i7 13th Gen,32GB,1TB SSD,"14"" FHD",Windows 10,Blue,Plastic,1.25kg,2 Years,129315
LG Gram 14,LG,Intel Core i3 11th Gen,8GB,1TB SSD,"13.3"" FHD",Windows 10,Silver,Aluminum,2.00kg,3 Years,199900
ASUS ROG Zephyrus G14,ASUS,AMD Ryzen 7 5800U,8GB,256GB SSD,"13.3"" FHD",macOS Ventura,Black,Plastic,0.99kg,2 Years,67648
Apple MacBook Air M1,Apple,Intel Core i7 13th Gen,4GB,256GB SSD,"14"" FHD",Chrome OS,Silver,Carbon Fiber,1.40kg,3 Years,209437
HP Pavilion 15,HP,Intel Core i9 13th Gen,32GB,1TB SSD,"16"" QHD",Windows 11,Silver,Aluminum,2.00kg,3 Years,101009
Acer Aspire 5,Acer,Intel Core i3 11th Gen,32GB,256GB SSD,"16"" QHD",Chrome OS,White,Carbon Fiber,1.75kg,1 Year,93404
Acer Aspire 5,Acer,AMD Ryzen 5 5500U,4GB,512GB SSD,"13.3"" FHD",Windows 10,Blue,Carbon Fiber,0.99kg,2 Years,194892
Dell Inspiron 14,Dell,Intel Core i3 11th Gen,32GB,256GB SSD,"16"" QHD",Windows 11,White,Magnesium Alloy,1.75kg,1 Year,133777
Apple MacBook Pro M2,Apple,Intel Core i7 13th Gen,4GB,256GB SSD,"15.6"" FHD",Chrome OS,Black,Aluminum,0.99kg,3 Years,245029
MSI GF63 Thin,MSI,Apple M2,4GB,256GB SSD,"14"" FHD",macOS Ventura,Silver,Carbon Fiber,1.25kg,2 Years,157542
LG Gram 14,LG,Intel Core i5 12th Gen,32GB,128GB SSD,"15.6"" FHD",macOS Ventura,Silver,Carbon Fiber,0.99kg,3 Years,221237
Lenovo IdeaPad Slim 3,Lenovo,Apple M2,32GB,1TB SSD,"15.6"" FHD",Windows 11,Gray,Metal,0.99kg,2 Years,164807
Acer Aspire 5,Acer,AMD Ryzen 7 5800U,4GB,128GB SSD,"17"" FHD",Windows 11,Silver,Plastic,0.99kg,1 Year,86846
ASUS ROG Zephyrus G14,ASUS,Intel Core i5 12th Gen,16GB,128GB SSD,"17"" FHD",Windows 11,Black,Metal,0.99kg,2 Years,136870
MSI GF63 Thin,MSI,Apple M1,16GB,512GB SSD,"17"" FHD",Windows 11,White,Aluminum,2.00kg,1 Year,91582
Walton Prelude N41,Walton,Intel Core i9 13th Gen,32GB,1TB SSD,"17"" FHD",Windows 11,Silver,Aluminum,2.00kg,3 Years,58627
Apple MacBook Air M1,Apple,Apple M1,16GB,512GB SSD,"16"" QHD",Chrome OS,Blue,Magnesium Alloy,1.40kg,3 Years,237470
Acer Aspire 5,Acer,Intel Core i3 11th Gen,12GB,128GB SSD,"17"" FHD",Windows 10,Silver,Plastic,2.00kg,1 Year,40335
Walton Tamarind EX10,Walton,Apple M2,32GB,1TB SSD,"13.3"" FHD",Windows 11,Blue,Aluminum,0.99kg,1 Year,76591
Apple MacBook Air M1,Apple,Intel Core i7 13th Gen,4GB,512GB SSD,"17"" FHD",Windows 10,Silver,Carbon Fiber,1.40kg,1 Year,237055
ASUS ROG Zephyrus G14,ASUS,Intel Core i7 13th Gen,16GB,128GB SSD,"13.3"" FHD",Chrome OS,Gray,Aluminum,1.25kg,1 Year,234429
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i5 12th Gen,4GB,256GB SSD,"14"" FHD",Windows 10,Silver,Magnesium Alloy,2.00kg,1 Year,167398
Walton Prelude N41,Walton,AMD Ryzen 7 5800U,12GB,1TB SSD,"17"" FHD",Windows 10,White,Metal,1.40kg,3 Years,85210
Apple MacBook Air M2,Apple,Apple M2,16GB,1TB SSD,"16"" QHD",Chrome OS,Black,Magnesium Alloy,1.25kg,1 Year,99627
HP Pavilion 15,HP,Apple M2,4GB,128GB SSD,"13.3"" FHD",macOS Ventura,Silver,Magnesium Alloy,1.25kg,1 Year,213856
LG Gram 14,LG,Intel Core i3 11th Gen,16GB,256GB SSD,"16"" QHD",Chrome OS,Gray,Magnesium Alloy,0.99kg,3 Years,173338
HP Victus 15,HP,Apple M2,4GB,256GB SSD,"13.3"" FHD",Windows 11,Silver,Carbon Fiber,1.40kg,2 Years,41866
Dell Inspiron 14,Dell,Intel Core i5 12th Gen,32GB,1TB SSD,"15.6"" FHD",Windows 11,Blue,Plastic,0.99kg,2 Years,93909
Apple MacBook Pro M2,Apple,AMD Ryzen 5 5500U,12GB,1TB SSD,"13.3"" FHD",Windows 10,Black,Aluminum,1.25kg,1 Year,92454
HP Pavilion 15,HP,Apple M2,16GB,128GB SSD,"16"" QHD",macOS Ventura,Blue,Magnesium Alloy,1.40kg,2 Years,147327
Walton Prelude N41,Walton,AMD Ryzen 7 5800U,16GB,1TB SSD,"15.6"" FHD",Windows 11,Blue,Magnesium Alloy,1.25kg,2 Years,97936
ASUS ROG Zephyrus G14,ASUS,Intel Core i7 13th Gen,32GB,512GB SSD,"14"" FHD",macOS Ventura,Silver,Metal,1.40kg,3 Years,90532
LG Gram 14,LG,Intel Core i5 12th Gen,8GB,256GB SSD,"17"" FHD",Windows 10,White,Metal,0.99kg,3 Years,212510
Apple MacBook Air M2,Apple,Intel Core i9 13th Gen,4GB,1TB SSD,"14"" FHD",macOS Ventura,Blue,Carbon Fiber,2.00kg,2 Years,182411
ASUS VivoBook 15,ASUS,Apple M1,32GB,1TB SSD,"13.3"" FHD",macOS Ventura,Gray,Magnesium Alloy,1.25kg,1 Year,150354
Apple MacBook Air M2,Apple,Apple M2,8GB,128GB SSD,"17"" FHD",macOS Ventura,Black,Aluminum,2.00kg,2 Years,206264
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i5 12th Gen,8GB,128GB SSD,"14"" FHD",Chrome OS,Silver,Metal,1.25kg,1 Year,139288
