instruct,answer,Conditions,Offers
Suggest a Acer laptop with 8GB RAM and 512GB SSD.,"Name: Acer ExpertBook 28, Category: General Use, Price: 123743 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 512GB SSD",Brand New,Discount ৳1500
Suggest a Dell laptop with 8GB RAM and 256GB SSD.,"Name: Dell ExpertBook 29, Category: General Use, Price: 54738 BDT, Color: White, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,0% EMI on selected cards
Suggest a MSI laptop with 12GB RAM and 1TB SSD.,"Name: MSI ExpertBook 30, Category: General Use, Price: 65284 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,Free Backpack
Suggest a MSI laptop with 4GB RAM and 1TB SSD.,"Name: MSI ExpertBook 31, Category: General Use, Price: 119440 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Brand New,Free Backpack
Suggest a Lenovo laptop with 16GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 32, Category: General Use, Price: 95296 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 256GB SSD",Pre-Owned,Free Gaming Mouse
Suggest a Lenovo laptop with 16GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 33, Category: General Use, Price: 55788 BDT, Color: Black, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,Discount ৳1500
Suggest a LG laptop with 12GB RAM and 1TB SSD.,"Name: LG ExpertBook 34, Category: General Use, Price: 123248 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,Student Discount Available
Suggest a Lenovo laptop with 16GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 35, Category: General Use, Price: 69914 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 512GB SSD",Brand New,Up to 5% Discount
Suggest a MSI laptop with 4GB RAM and 512GB SSD.,"Name: MSI ExpertBook 36, Category: General Use, Price: 104602 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Pre-Owned,Free Backpack
Suggest a HP laptop with 16GB RAM and 512GB SSD.,"Name: HP ExpertBook 37, Category: General Use, Price: 121477 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,No discount
Suggest a ASUS laptop with 12GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 38, Category: General Use, Price: 59629 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a MSI laptop with 16GB RAM and 128GB SSD.,"Name: MSI ExpertBook 39, Category: General Use, Price: 112328 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,Free Backpack
Suggest a MSI laptop with 16GB RAM and 128GB SSD.,"Name: MSI ExpertBook 40, Category: General Use, Price: 84496 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 128GB SSD",Brand New,Battery Replacement Support
Suggest a MSI laptop with 16GB RAM and 512GB SSD.,"Name: MSI ExpertBook 41, Category: General Use, Price: 46230 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 512GB SSD",Brand New,Cashback ৳2000
Suggest a Lenovo laptop with 8GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 42, Category: General Use, Price: 122777 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,Up to 5% Discount
Suggest a LG laptop with 12GB RAM and 256GB SSD.,"Name: LG ExpertBook 43, Category: General Use, Price: 114236 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 256GB SSD",Brand New,EMI available (6 months)
Suggest a LG laptop with 12GB RAM and 256GB SSD.,"Name: LG ExpertBook 44, Category: General Use, Price: 56155 BDT, Color: Silver, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,Free Backpack
Suggest a Acer laptop with 16GB RAM and 512GB SSD.,"Name: Acer ExpertBook 45, Category: General Use, Price: 105221 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,0% EMI on selected cards
Suggest a HP laptop with 16GB RAM and 512GB SSD.,"Name: HP ExpertBook 46, Category: General Use, Price: 87837 BDT, Color: Gray, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,Student Discount Available
Suggest a LG laptop with 12GB RAM and 256GB SSD.,"Name: LG ExpertBook 47, Category: General Use, Price: 65804 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,Up to 5% Discount
Suggest a ASUS laptop with 8GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 48, Category: General Use, Price: 95438 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 512GB SSD",Brand New,Student Discount Available
Suggest a Apple laptop with 4GB RAM and 256GB SSD.,"Name: Apple ExpertBook 49, Category: General Use, Price: 145019 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 256GB SSD",Brand New,Cashback ৳2000
Suggest a Lenovo laptop with 16GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 50, Category: General Use, Price: 115283 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a Apple laptop with 16GB RAM and 128GB SSD.,"Name: Apple ExpertBook 51, Category: General Use, Price: 121010 BDT, Color: Black, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 128GB SSD",Brand New,Free Backpack
Suggest a Apple laptop with 12GB RAM and 512GB SSD.,"Name: Apple ExpertBook 52, Category: General Use, Price: 70596 BDT, Color: Silver, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,Student Discount Available
Suggest a MSI laptop with 16GB RAM and 256GB SSD.,"Name: MSI ExpertBook 53, Category: General Use, Price: 94759 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 256GB SSD",Pre-Owned,Free Delivery
Suggest a ASUS laptop with 8GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 54, Category: General Use, Price: 103911 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,Free Mouse Pad
Suggest a HP laptop with 8GB RAM and 512GB SSD.,"Name: HP ExpertBook 55, Category: General Use, Price: 84938 BDT, Color: Gray, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 512GB SSD",Brand New,0% EMI on selected cards
Suggest a Lenovo laptop with 4GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 56, Category: General Use, Price: 58636 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 512GB SSD",Pre-Owned,EMI available (6 months)
Suggest a ASUS laptop with 12GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 57, Category: General Use, Price: 84932 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 1TB SSD",Brand New,Free Mouse Pad
Suggest a Dell laptop with 8GB RAM and 1TB SSD.,"Name: Dell ExpertBook 58, Category: General Use, Price: 125546 BDT, Color: Gray, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,Free Gaming Mouse
Suggest a Apple laptop with 16GB RAM and 256GB SSD.,"Name: Apple ExpertBook 59, Category: General Use, Price: 93768 BDT, Color: Silver, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 256GB SSD",Pre-Owned,0% EMI on selected cards
Suggest a Acer laptop with 12GB RAM and 1TB SSD.,"Name: Acer ExpertBook 60, Category: General Use, Price: 80430 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Brand New,Discount ৳1500
Suggest a MSI laptop with 16GB RAM and 1TB SSD.,"Name: MSI ExpertBook 61, Category: General Use, Price: 126737 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,Student Discount Available
Suggest a Dell laptop with 4GB RAM and 128GB SSD.,"Name: Dell ExpertBook 62, Category: General Use, Price: 103117 BDT, Color: White, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 128GB SSD",Brand New,EMI available (6 months)
Suggest a ASUS laptop with 8GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 63, Category: General Use, Price: 59780 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,No discount
Suggest a MSI laptop with 12GB RAM and 1TB SSD.,"Name: MSI ExpertBook 64, Category: General Use, Price: 121288 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,Free Gaming Mouse
Suggest a Acer laptop with 16GB RAM and 128GB SSD.,"Name: Acer ExpertBook 65, Category: General Use, Price: 45161 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a Lenovo laptop with 8GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 66, Category: General Use, Price: 90142 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Brand New,Student Discount Available
Suggest a HP laptop with 8GB RAM and 128GB SSD.,"Name: HP ExpertBook 67, Category: General Use, Price: 137380 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,Free Backpack
Suggest a Dell laptop with 12GB RAM and 128GB SSD.,"Name: Dell ExpertBook 68, Category: General Use, Price: 122718 BDT, Color: Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 128GB SSD",Brand New,Battery Replacement Support
Suggest a ASUS laptop with 8GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 69, Category: General Use, Price: 85687 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a Acer laptop with 4GB RAM and 128GB SSD.,"Name: Acer ExpertBook 70, Category: General Use, Price: 129188 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 128GB SSD",Brand New,Battery Replacement Support
Suggest a Acer laptop with 16GB RAM and 512GB SSD.,"Name: Acer ExpertBook 71, Category: General Use, Price: 127339 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a HP laptop with 4GB RAM and 1TB SSD.,"Name: HP ExpertBook 72, Category: General Use, Price: 64687 BDT, Color: Gray, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a LG laptop with 16GB RAM and 128GB SSD.,"Name: LG ExpertBook 73, Category: General Use, Price: 139707 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,EMI available (6 months)
Suggest a Acer laptop with 8GB RAM and 1TB SSD.,"Name: Acer ExpertBook 74, Category: General Use, Price: 90576 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,Free Backpack
Suggest a Apple laptop with 8GB RAM and 512GB SSD.,"Name: Apple ExpertBook 75, Category: General Use, Price: 83462 BDT, Color: Black, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 512GB SSD",Brand New,Free Laptop Bag
Suggest a LG laptop with 8GB RAM and 128GB SSD.,"Name: LG ExpertBook 76, Category: General Use, Price: 147551 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 128GB SSD",Brand New,Free Laptop Bag
Suggest a Apple laptop with 4GB RAM and 1TB SSD.,"Name: Apple ExpertBook 77, Category: General Use, Price: 77226 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,Student Discount Available
Suggest a Acer laptop with 4GB RAM and 1TB SSD.,"Name: Acer ExpertBook 78, Category: General Use, Price: 118577 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 1TB SSD",Brand New,EMI available (6 months)
Suggest a HP laptop with 12GB RAM and 512GB SSD.,"Name: HP ExpertBook 79, Category: General Use, Price: 82146 BDT, Color: Gray, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,0% EMI on selected cards
Suggest a Lenovo laptop with 4GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 80, Category: General Use, Price: 72896 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a HP laptop with 4GB RAM and 1TB SSD.,"Name: HP ExpertBook 81, Category: General Use, Price: 114236 BDT, Color: Gray, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 1TB SSD",Brand New,Free Travel Pouch
Suggest a Apple laptop with 16GB RAM and 128GB SSD.,"Name: Apple ExpertBook 82, Category: General Use, Price: 140176 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 128GB SSD",Brand New,Battery Replacement Support
Suggest a Acer laptop with 4GB RAM and 512GB SSD.,"Name: Acer ExpertBook 83, Category: General Use, Price: 77542 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Brand New,EMI available (6 months)
Suggest a Dell laptop with 8GB RAM and 256GB SSD.,"Name: Dell ExpertBook 84, Category: General Use, Price: 90521 BDT, Color: Gray, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 256GB SSD",Brand New,EMI available (6 months)
Suggest a LG laptop with 4GB RAM and 256GB SSD.,"Name: LG ExpertBook 85, Category: General Use, Price: 103700 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,EMI available (6 months)
Suggest a LG laptop with 16GB RAM and 256GB SSD.,"Name: LG ExpertBook 86, Category: General Use, Price: 74931 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 256GB SSD",Brand New,No discount
Suggest a LG laptop with 12GB RAM and 1TB SSD.,"Name: LG ExpertBook 87, Category: General Use, Price: 136102 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 1TB SSD",Brand New,EMI available (6 months)
Suggest a Dell laptop with 8GB RAM and 128GB SSD.,"Name: Dell ExpertBook 88, Category: General Use, Price: 99663 BDT, Color: Silver, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 128GB SSD",Brand New,Free Backpack
Suggest a ASUS laptop with 12GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 89, Category: General Use, Price: 143446 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,Free Laptop Bag
Suggest a ASUS laptop with 4GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 90, Category: General Use, Price: 51193 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,Free Delivery
Suggest a Dell laptop with 4GB RAM and 512GB SSD.,"Name: Dell ExpertBook 91, Category: General Use, Price: 56399 BDT, Color: White, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Pre-Owned,0% EMI on selected cards
Suggest a Apple laptop with 16GB RAM and 1TB SSD.,"Name: Apple ExpertBook 92, Category: General Use, Price: 112762 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 1TB SSD",Brand New,No discount
Suggest a Acer laptop with 4GB RAM and 256GB SSD.,"Name: Acer ExpertBook 93, Category: General Use, Price: 126519 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 256GB SSD",Brand New,Free Gaming Mouse
Suggest a MSI laptop with 8GB RAM and 1TB SSD.,"Name: MSI ExpertBook 94, Category: General Use, Price: 126348 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 1TB SSD",Brand New,Discount ৳1500
Suggest a ASUS laptop with 16GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 95, Category: General Use, Price: 98756 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 1TB SSD",Brand New,Free Backpack
Suggest a HP laptop with 4GB RAM and 1TB SSD.,"Name: HP ExpertBook 96, Category: General Use, Price: 103592 BDT, Color: Gray, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,Up to 5% Discount
